process_id;capacity_ton_per_day
P-01;10.0
P-02;10.0
P-03;10.0
P-04;10.0
P-05;10.0
P-06;10.0
P-07;10.0
P-08;10.0
P-09;10.0
P-10;10.0
P-11;10.0
P-12;10.0
P-13;10.0
P-14;10.0
P-15;10.0
P-16;10.0
P-17;10.0
P-18;10.0
P-19;10.0
P-20;10.0
P-21;10.0
P-22;10.0
P-23;10.0
P-24;10.0
P-25;10.0
P-26;10.0
P-27;10.0
P-28;10.0
P-29;10.0
P-30;10.0
P-31;10.0
P-32;10.0
P-33;10.0
P-34;10.0
P-35;10.0
P-36;10.0
P-37;10.0
P-38;10.0
P-39;10.0
P-40;10.0
P-41;10.0
P-42;10.0
P-43;10.0
P-44;10.0
P-45;10.0
P-46;10.0
P-47;10.0
P-48;10.0
P-49;10.0
P-50;10.0
P-51;10.0
P-52;10.0
P-53;10.0
P-54;10.0
P-55;10.0
P-56;10.0
P-57;10.0
P-58;10.0
P-59;10.0
P-60;10.0
P-61;10.0
P-62;10.0
P-63;10.0
P-64;10.0
P-65;10.0
P-66;10.0
P-67;10.0
P-68;10.0
P-69;10.0
P-70;0
P-71;10.0
P-72;10.0
P-73;10.0
P-74;10.0
P-75;10.0
P-76;10.0
P-77;10.0
P-78;10.0
P-79;10.0
P-80;10.0
P-81;10.0
P-82;10.0
P-83;10.0
P-84;10.0
P-85;10.0
P-86;10.0
P-87;10.0
P-88;10.0
P-89;10.0
P-90;10.0
P-91;10.0
P-92;10.0
P-93;10.0
P-94;10.0
P-95;10.0
P-96;10.0
P-97;10.0
P-98;10.0
P-99;10.0
P-100;10.0
P-101;10.0
P-102;10.0
P-103;10.0
P-104;10.0
P-105;10.0
P-106;10.0
P-107;10.0
P-108;10.0
P-109;10.0
P-110;10.0
P-111;10.0
P-112;10.0
P-113;10.0
P-114;10.0
P-115;10.0
P-116;10.0
P-117;10.0
P-118;10.0
P-119;10.0
P-120;10.0
P-121;10.0
P-122;10.0
P-123;10.0
P-124;10.0
P-125;10.0
P-126;10.0
P-127;10.0
P-128;10.0
P-129;10.0
P-130;10.0
P-131;10.0
P-132;10.0
P-133;10.0
P-134;10.0
P-135;10.0
P-136;10.0
P-137;10.0
P-138;10.0
P-139;10.0
P-140;10.0
P-141;10.0
P-142;10.0
P-143;10.0
P-144;10.0
P-145;10.0
P-146;10.0
P-147;10.0
P-148;10.0
P-149;10.0
P-150;10.0
