process_id,month,status
P-01,1,1
P-02,1,1
P-03,1,1
P-04,1,1
P-05,1,1
P-06,1,1
P-07,1,1
P-08,1,1
P-09,1,1
P-10,1,1
P-11,1,1
P-12,1,1
P-13,1,1
P-14,1,1
P-15,1,1
P-16,1,1
P-17,1,1
P-18,1,1
P-19,1,1
P-20,1,1
P-21,1,1
P-22,1,1
P-23,1,1
P-24,1,1
P-25,1,1
P-26,1,1
P-27,1,1
P-28,1,1
P-29,1,1
P-30,1,1
P-31,1,1
P-32,1,1
P-33,1,1
P-34,1,1
P-35,1,1
P-36,1,1
P-37,1,1
P-38,1,1
P-39,1,1
P-40,1,1
P-41,1,1
P-42,1,1
P-43,1,1
P-44,1,1
P-45,1,1
P-46,1,1
P-47,1,1
P-48,1,1
P-49,1,1
P-50,1,1
P-51,1,1
P-52,1,1
P-53,1,1
P-54,1,1
P-55,1,1
P-56,1,1
P-57,1,1
P-58,1,1
P-59,1,1
P-60,1,1
P-61,1,1
P-62,1,1
P-63,1,1
P-64,1,1
P-65,1,1
P-66,1,1
P-67,1,1
P-68,1,1
P-69,1,1
P-70,1,1
P-71,1,1
P-72,1,1
P-73,1,1
P-74,1,1
P-75,1,1
P-76,1,1
P-77,1,1
P-78,1,1
P-79,1,1
P-80,1,1
P-81,1,1
P-82,1,1
P-83,1,1
P-84,1,1
P-85,1,1
P-86,1,1
P-87,1,1
P-88,1,1
P-89,1,1
P-90,1,1
P-91,1,1
P-92,1,1
P-93,1,1
P-94,1,1
P-95,1,1
P-96,1,1
P-97,1,1
P-98,1,1
P-99,1,1
P-100,1,1
P-101,1,1
P-102,1,1
P-103,1,1
P-104,1,1
P-105,1,1
P-106,1,1
P-107,1,1
P-108,1,1
P-109,1,1
P-110,1,1
P-111,1,1
P-112,1,1
P-113,1,1
P-114,1,1
P-115,1,1
P-116,1,1
P-117,1,1
P-118,1,1
P-119,1,1
P-120,1,1
P-121,1,1
P-122,1,1
P-123,1,1
P-124,1,1
P-125,1,1
P-126,1,1
P-127,1,1
P-128,1,1
P-129,1,1
P-130,1,1
P-131,1,1
P-132,1,1
P-133,1,1
P-134,1,1
P-135,1,1
P-136,1,1
P-137,1,1
P-138,1,1
P-139,1,1
P-140,1,1
P-141,1,1
P-142,1,1
P-143,1,1
P-144,1,1
P-145,1,1
P-146,1,1
P-147,1,1
P-148,1,1
P-149,1,1
P-150,1,1
